title,home,codes,keywords,classification,subjects
ADMET and DMPK,http://pub.iapchem.org/ojs/index.php/admet,admet,"pharmacology, drug absorption, drug metabolism, physical chemistry, adme",RM1-950,Medicine: Therapeutics. Pharmacology
Reviews of Management Sciences,https://rmsjournal.com/index.php/admin,admin,"management, finance, marketing, human resource management",HD28-70|HF5001-6182|HG1-9999,Social Sciences: Industries. Land use. Labor: Management. Industrial management | Social Sciences: Commerce: Business | Social Sciences: Finance
Australian Educational Computing,http://journal.acce.edu.au/index.php/AEC,aec,"education, computing",L|T,Education | Technology
AFEBI Economic and Finance Review,https://journal.afebi.org/index.php/aefr,aefr,"economics science, public policy, monetary economics, regional economics, industrial economics, economic development",HG1-9999|HB71-74,Social Sciences: Finance | Social Sciences: Economic theory. Demography: Economics as a science
Applied Environmental Research,https://ph01.tci-thaijo.org/index.php/aer,aer,"pollution, waste management and disposal, water science and technology, environmental science, environmental monitoring, environmental policy",GE1-350|TD1-1066,Geography. Anthropology. Recreation: Environmental sciences | Technology: Environmental technology. Sanitary engineering
Afkaruna: Indonesian Interdisciplinary Journal of Islamic Studies,https://journal.umy.ac.id/index.php/afkaruna,afkaruna,"islamic studies, islamic thoughts, islamic philosophy",BP1-253,"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam"
Journal of Aziz Fatimah Medical and Dental College,http://journal.afmdc.edu.pk/index.php/AFMDC,afmdc,"oral health, medical sciences, dentistry, medicine",RK1-715|R5-920,Medicine: Dentistry | Medicine: Medicine (General)
Agricultural and Food Science,http://ojs.tsv.fi/index.php/AFS,afs,"agricultural science, agricultural environment research, food research",S|S1-972,Agriculture: Agriculture (General)
"Advances in Food Science, Sustainable Agriculture, and Agroindustrial Engineering",https://afssaae.ub.ac.id/index.php/afssaae,afssaae,"food science, agricultural engineering, agroindustrial engineering, food engineering, food microbiology, biotechnology",S,Agriculture
Agraris: Journal of Agribusiness and Rural Development Research,http://journal.umy.ac.id/index.php/ag,ag,"agribusiness, socioeconomics",S|S1-972|HF5001-6182,Agriculture: Agriculture (General) | Social Sciences: Commerce: Business
Journal of Advanced Guidance and Counseling,https://journal.walisongo.ac.id/index.php/agc,agc,"islamic guidance and counseling, guidance and counseling, adult and elder counseling, school counseling, crisis and risk counseling, rehabilitation counseling",L,Education
AGG+,http://doisrpska.nub.rs/index.php/aggplus,aggplus,"architecture, civil engineering, geodesy, natural sciences in construction, urbanism",NA1-9428|TA1-2040,Fine Arts: Architecture | Technology: Engineering (General). Civil engineering (General)
Agricultura,http://journals.usamvcluj.ro/index.php/agricultura,agricultura,"agriculture, horticulture, landscape architecture, environment, veterinary science, forestry",S|S1-972|SB1-1110,Agriculture: Agriculture (General) | Agriculture: Plant culture
Bulletin of University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca: Agriculture,http://journals.usamvcluj.ro/index.php/agriculture,agriculture,"agriculture, grassland and forage crop, plant genetics and breeding, soil sciences, agricultural machineries, environmental protection",S1-972,Agriculture: Agriculture (General)
Agripreneur,https://iocscience.org/ejournal/index.php/Agripreneur,agripreneur,"agribusiness, forestry, food technology, farming, aquaculture, agroindustry",S1-972,Agriculture: Agriculture (General)
Agricultural Science,http://agriculturalscience.unmerbaya.ac.id/index.php/agriscience,agriscience,"horticulture, plant breeding, plant protection, agro forestry, crop science, plant",S,Agriculture
AGRIVITA Journal of Agricultural Science,http://agrivita.ub.ac.id/index.php/agrivita,agrivita,"agronomy, horticulture, plant breeding, soil plant science, plant protection, crop science",S|SB1-1110,Agriculture: Plant culture
Journal of Tropical Crop Science,http://www.j-tropical-crops.com/index.php/agro,agro,"agriculture, tropical crops, horticulture",S1-972|SB1-1110,Agriculture: Agriculture (General) | Agriculture: Plant culture
Agronomía Colombiana,http://revistas.unal.edu.co/index.php/agrocol,agrocol,"agricultural sciences, tropical crops, crop physiology, soil management, crop protection, rural development",QK900-989,Science: Botany: Plant ecology
Applied General Topology,http://polipapers.upv.es/index.php/AGT,agt,"topological dynamics, topological algebra, hyperspaces",QA1-939|QA299.6-433,Science: Mathematics: Analysis
Acta Herpetologica,https://oaj.fupress.net/index.php/ah,ah,"amphibians, reptiles",QL1-991,Science: Zoology
African Human Mobility Review,https://epubs.ac.za/index.php/ahmr,ahmr,"migration, human mobility, asylum, immigration, forced migration",JV1-9480,Political science: Colonies and colonization. Emigration and immigration. International migration
Advances in Horticultural Science,https://oaj.fupress.net/index.php/ahs,ahs,"horticulture, fruit growing, vegetable growing, viticulture, medicinal plants, agronomic",QH301-705.5|QK1-989,Science: Biology (General) | Science: Botany
Journal of Accounting and Investment,http://journal.umy.ac.id/index.php/ai,ai,"accounting, investment, finance, governance, government",HF5601-5689,Social Sciences: Commerce: Business: Accounting. Bookkeeping
AFEBI Islamic Finance and Economic Review,https://journal.afebi.org/index.php/aifer,aifer,"islamic economics, islamic finance and bank, islamic social finance, islamic accounting and taxation, islamic business and halal industries, islamic management",BP1-253|HG1-9999,"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam | Social Sciences: Finance"
"Andalasian International Journal of Applied Science, Engineering, and Technology",https://aijaset.lppm.unand.ac.id/index.php/aijaset,aijaset,"engineering, applied science, applied engineering, applied technology, science, technology",TA1-2040|T1-995,Technology: Engineering (General). Civil engineering (General) | Technology: Technology (General)
Agora International Journal of Economical Sciences,http://univagora.ro/jour/index.php/aijes,aijes,"management, marketing, tourism, finance, accountancy, economics",HF5410-5417.5|HF5546-5548.6|K4430-4675|HB71-74,Social Sciences: Commerce: Business: Marketing. Distribution of products | Social Sciences: Commerce: Business: Office management | Law: Law in general. Comparative and uniform law. Jurisprudence: Comparative law. International uniform law: Public finance | Social Sciences: Economic theory. Demography: Economics as a science
Advances in Oceanography and Limnology,http://pagepressjournals.org/index.php/aiol,aiol,"ecology, oceanography, limnology, water quality, water toxicology, marine and freshwater ecosystmes",QH540-549.5,Science: Biology (General): Ecology
Advances in Technology Innovation,http://ojs.imeti.org/index.php/AITI,aiti,"innovation, multidicipline, technology, engineering",T1-995,Technology: Technology (General)
Archivio Italiano di Urologia e Andrologia,https://www.pagepressjournals.org/index.php/aiua,aiua,"italy, urology, andrology",RC870-923,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the genitourinary system. Urology
African Journal of Career Development,https://ajcd.africa/index.php/ajcd,ajcd,"career counseling, vocational guidance, career adaptability, career development",HF5381-5386|H,Social Sciences: Commerce: Business: Vocational guidance. Career development
Construction Economics and Building,http://epress.lib.uts.edu.au/journals/index.php/AJCEB,ajceb,"building, construction, property, quantity surveying",TA177.4-185|TH1-9745,Technology: Engineering (General). Civil engineering (General): Engineering economy | Technology: Building construction
American Journal of Experimental and Clinical Research,http://ajecr.org/index.php/ajecr,ajecr,"medical research, dental research, veterinary research, biological science research",R,Medicine
Australasian Journal of Educational Technology,https://ajet.org.au/index.php/AJET,ajet,"educational technology, higher education, computers, digital learning, e-learning, online teaching",L,Education
African Journal of Health Professions Education,http://www.ajhpe.org.za/index.php/ajhpe,ajhpe,"medical education, health professions education, teaching",L|L7-991|R|R5-920,Education: Education (General) | Medicine: Medicine (General)
African Journal of Inter-Multidisciplinary Studies,https://journals.dut.ac.za/index.php/ajims,ajims,"interdisciplinary, multdisciplinary, transdisciplinary, humanities, social sciences",H,Social Sciences
AJIS: Academic Journal of Islamic Studies,http://journal.iaincurup.ac.id/index.php/AJIS,ajis01,"islamic studies, islamic law, islam",BP1-253,"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam"
Australasian Journal of Information Systems,http://journal.acs.org.au/index.php/ajis,ajis02,"design science, social media, information systems research, information & communications technology, business analytics, ecommerce",T58.5-58.64|QA75.5-76.95,Technology: Technology (General): Industrial engineering. Management engineering: Information technology | Science: Mathematics: Instruments and machines: Electronic computers. Computer science
American Journal of Islam and Society,https://www.ajis.org/index.php/ajiss,ajiss,"islamic studies, islamic economics, islamic law, shari'a, muslim societies, islam & society",BP1-253,"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam"
African Journal of Laboratory Medicine,https://ajlmonline.org/index.php/ajlm,ajlm,"public health, africa, laboratory medicine",RA1-1270|R5-920,Medicine: Public aspects of medicine | Medicine: Medicine (General)
Armenian Journal of Mathematics,http://armjmath.sci.am/index.php/ajm,ajm,"mathematics, applied mathematics, pure mathematics",QA1-939,Science: Mathematics
"Asian Journal of Management, Entrepreneurship and Social Science",https://ajmesc.com/index.php/ajmesc,ajmesc,"management, economics, business, entrepreneurship, social sciences, ecommerce",HF5001-6182,Social Sciences: Commerce: Business
Asian Journal of Medical Sciences,https://www.nepjol.info/index.php/AJMS,ajms,"medicine, dentistry, nursing",R,Medicine
African Journal of Nephrology,http://www.journals.ac.za/index.php/ajn,ajn,"nephrology, hypertension",RC870-923,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the genitourinary system. Urology
African Journal of Disability,https://ajod.org/index.php/ajod,ajod,"disability studies, rehabilitation, discrimination, human development, community development, inclusive education",HD7255-7256|HT51-1595,Social Sciences: Industries. Land use. Labor: Labor. Work. Working class: Vocational rehabilitation. Employment of people with disabilities | Social Sciences: Communities. Classes. Races
African Journal of Psychological Assessment,https://ajopa.org/index.php/ajopa,ajopa,"psychological assessment, psychometrics",BF1-990,Philosophy. Psychology. Religion: Psychology
African Journal of Teacher Education,https://journal.lib.uoguelph.ca/index.php/ajote,ajote,"teacher education, africa",L,Education
African Journal of Social Work,https://www.ajol.info/index.php/ajsw,ajsw,"africa, social work, social development, decolonisation",HV1-9960|H1-99,Social Sciences: Social pathology. Social and public welfare. Criminology | Social Sciences: Social sciences (General)
Asian Journal of Technology Management,http://journal.sbm.itb.ac.id/index.php/ajtm,ajtm,"national innovation system, creativity and innovation, technology policy and strategy, cross cultural and technological change, technology in operations and supply chains, technology application in business functions",T1-995|HD28-70,Technology: Technology (General) | Social Sciences: Industries. Land use. Labor: Management. Industrial management
Annales Kinesiologiae,http://ojs.zrs-kp.si/index.php/AK,ak,"sport, exercise, motor development, kinesiology, physical activity",GV557-1198.995,Geography. Anthropology. Recreation: Recreation. Leisure: Sports
Al-Lisan: Jurnal Bahasa,http://journal.iaingorontalo.ac.id/index.php/al,al,"linguistics, translation, english language, arabic language, literature",PE1-3729|P1-1091,Language and Literature: English language | Language and Literature: Philology. Linguistics
Al-Albab,http://jurnaliainpontianak.or.id/index.php/alalbab,alalbab,"religious studies, islam, local culture",BL1-50,Philosophy. Psychology. Religion: Religions. Mythology. Rationalism: Religion (General)
Al-Balagh: Jurnal Dakwah dan Komunikasi,https://ejournal.uinsaid.ac.id/index.php/al-balagh,albalagh,"da'wah, communication, journalism, public relations, psychology, counseling",P87-96|BP1-253,"Language and Literature: Philology. Linguistics: Communication. Mass media | Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam"
Alces,http://alcesjournal.org/index.php/alces,alces,"moose, ecology, wildlife management, biology",QH301-705.5|QH540-549.5,Science: Biology (General): Ecology
Annals of Library and Information Studies,http://op.niscpr.res.in/index.php/ALIS,alis,"information science, scientometrics, bibliometrics, library science",Z,Bibliography. Library science. Information resources
Al-Khawarizmi Engineering Journal,http://alkej.uobaghdad.edu.iq/index.php/alkej,alkej,"biomedical, information, mechatronics, chemical, biochemical engineering",TP155-156|TA1-2040,Technology: Chemical technology: Chemical engineering | Technology: Engineering (General). Civil engineering (General)
Al-ʿUṣūr al-Wusṭā,https://journals.library.columbia.edu/index.php/alusur,alusur,"middle east, middle ages, medieval period, islamic history, middle eastern history",DS1-937|D111-203,History (General) and history of Europe: History of Asia | History (General) and history of Europe: History (General): Medieval history
Acta Mycologica,https://pbsociety.org.pl/journals/index.php/am,am,"mycology, micromycetes, marcomycetes, slime moulds, symbiosis, mycopathology",QH301-705.5,Science: Biology (General)
AFEBI Management and Business Review,http://journal.afebi.org/index.php/ambr,ambr,"management, business",HF5001-6182,Social Sciences: Commerce: Business
Applied Medical Informatics,https://ami.info.umfcluj.ro/index.php/AMI,ami,"simulation, modeling, signal processing, image processing, decision systems, applied statistics in medicine",R858-859.7,Medicine: Medicine (General): Computer applications to medicine. Medical informatics
Althea Medical Journal,http://journal.fk.unpad.ac.id/index.php/amj,amj,"medicine, health",R|R5-920,Medicine: Medicine (General)
Alpine and Mediterranean Quaternary,https://amq.aiqua.it/index.php/amq,amq,"mediterranean basin, alpine-himalayan, middle east, northern africa, quaternary research, quaternary history",GE1-350|GN700-890,Geography. Anthropology. Recreation: Environmental sciences | Geography. Anthropology. Recreation: Anthropology: Prehistoric archaeology
Analisa,https://blasemarang.kemenag.go.id/journal/index.php/analisa,analisa,"social sciences, religion, religious education, religious life",BL1-50|H,Philosophy. Psychology. Religion: Religions. Mythology. Rationalism: Religion (General) | Social Sciences
Annals of Geophysics,http://www.annalsofgeophysics.eu/index.php/annals,annals,"earth sciences, seismology, geodesy, volcanology, geomagnetism, climate",QC851-999|QC801-809,Science: Physics: Meteorology. Climatology | Science: Physics: Geophysics. Cosmic physics
Acta Polytechnica,https://ojs.cvut.cz/ojs/index.php/ap,ap,"engineering, physics, mathematics, computer science",TA1-2040,Technology: Engineering (General). Civil engineering (General)
Atti della Accademia Peloritana dei Pericolanti - Classe di Scienze Medico-Biologiche,http://cab.unime.it/journals/index.php/APMB,apmb,"biochemistry, biology, clinical medicine, veterinary science, pathology, physiology",R|QH301-705.5,Medicine | Science: Biology (General)
APMBA (Asia Pacific Management and Business Application),http://apmba.ub.ac.id/index.php/apmba,apmba,"asia pacific, management, business, economics, finance, human resource management",HF5001-6182,Social Sciences: Commerce: Business
Acta Polytechnica CTU Proceedings,https://ojs.cvut.cz/ojs/index.php/APP,app01,"engineering, physics, mathematics, computer science",TA1-2040,Technology: Engineering (General). Civil engineering (General)
Annals of Psychophysiology,http://aeirc-edu.com/ojs14/index.php/app,app02,"psychophysiology, mental health, cognition, behavioural neuroscience",BF1-990|QP351-495,Philosophy. Psychology. Religion: Psychology | Science: Physiology: Neurophysiology and neuropsychology
Asia Pacific Public Relations Journal,http://novaojs.newcastle.edu.au/apprj/index.php/apprj,apprj,"public relations, communication, strategic communication, public affairs, political communication, marketing communication",HD59-59.6,Social Sciences: Industries. Land use. Labor: Management. Industrial management: Public relations. Industrial publicity
Australian Population Studies,https://www.australianpopulationstudies.org/index.php/aps,aps,"australia, population, demography",HB848-3697,Social Sciences: Economic theory. Demography: Demography. Population. Vital events
Asia-Pacific Journal of Science and Technology,https://www.tci-thaijo.org/index.php/APST,apst,"science and technology, life sciences, plant science, energy technology",T1-995|Q1-390,Technology: Technology (General) | Science: Science (General)
Aquichan,http://aquichan.unisabana.edu.co/index.php/aquichan,aquichan,"infirmary, nursing",RT1-120|H,Medicine: Nursing | Social Sciences
Alternate routes: a journal of Critical Social Research,http://www.alternateroutes.ca/index.php/ar,ar,"social, critical, progressive, social justice, socio-political, economics",H,Social Sciences
Arbitrer,http://arbitrer.fib.unand.ac.id/index.php/arbitrer,arbitrer,"linguistics, language, applied linguistics",P1-1091,Language and Literature: Philology. Linguistics
The Arbutus Review,http://journals.uvic.ca/index.php/arbutus,arbutus,humanities,B|H,Philosophy. Psychology. Religion | Social Sciences
Enquiry: The ARCC Journal of Architectural Research,https://www.arcc-journal.org/index.php/arccjournal,arccjournal,"urban design, landscape, interior design, built environment, socio-formal, architecture",NA1-9428,Fine Arts: Architecture
ARCHive-SR,https://press.ierek.com/index.php/ARChive,archive,"sciences, engineering, technology, environment, energy, earth sciences",NA1-9428|HT165.5-169.9,Fine Arts: Architecture | Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology: City planning
Aresty Rutgers Undergraduate Research Journal,https://arestyrurj.libraries.rutgers.edu/index.php/arestyrurj,arestyrurj,undergraduate research,H|Q|L,Social Sciences | Education
Art/Research International,https://ejournals.library.ualberta.ca/index.php/ari,ari,"art, arts-based research, research creation, community-based arts, transdisciplinary research",NX1-820,Fine Arts: Arts in general
Armenian Folia Anglistika,https://journals.ysu.am/index.php/arm-fol-angl,armfolangl,"language, literature, culture, translation, teaching, armenology",P,Language and Literature
Acta Structilia,http://journals.ufs.ac.za/index.php/as,as,"construction management, building economy, construction project management, property development, quantity surveying, architecture",TH1-9745,Technology: Building construction
Acta Societatis Botanicorum Poloniae,https://pbsociety.org.pl/journals/index.php/asbp,asbp,"botany, plant biology, plant science",QK1-989,Science: Botany
Advances in Southeast Asian Studies,https://aseas.univie.ac.at/index.php/aseas,aseas,"cultural and social anthropology, communication, development, geography, cultural studies, regional studies",BL1000-2370|DS1-937|KN|PL1-8844,"Philosophy. Psychology. Religion: Religions. Mythology. Rationalism: History and principles of religions: Asian. Oriental | History (General) and history of Europe: History of Asia | Law: Asia and Eurasia, Africa, Pacific Area, and Antarctica: South Asia. Southeast Asia. East Asia | Language and Literature: Languages and literature of Eastern Asia, Africa, Oceania"
Zeszyty Naukowe Wyższej Szkoły Finansów i Prawa w Bielsku-Białej,https://asej.eu/index.php/asej,asej,"finance, it, social sciences, law, security",H,Social Sciences
Acta Scientiarum Polonorum. Administratio Locorum,https://czasopisma.uwm.edu.pl/index.php/aspal,aspal,"regional planning, socio-economic geography, geosciences, environmental studies, civil engineering, law",HD1286-1339|HT388,Social Sciences: Industries. Land use. Labor: Land use: Land tenure | Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology: Regional economics. Space in economics
Advances in Social Work,http://journals.iupui.edu/index.php/advancesinsocialwork,asw,"clinical practice, community organization, social administration, social policy, planning, program evaluation",HT51-65|HM401-1281,Social Sciences: Communities. Classes. Races: Human settlements. Communities | Social Sciences: Sociology (General)
Acta Theologica,https://journals.ufs.ac.za/index.php/at,at,"theology, religion, biblical studies, ministry, christian theology",BR1-1725|BV4485-5099,Philosophy. Psychology. Religion: Christianity | Philosophy. Psychology. Religion: Practical Theology: Practical religion. The Christian life
Art Therapy Online,http://ojs.gold.ac.uk/index.php/atol,atol,"art therapy, art psychotherapy, mental health, healing, psychoanalysis",NX1-820|RC475-489,Fine Arts: Arts in general | Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system: Psychiatry: Therapeutics. Psychotherapy
Analytic Teaching and Philosophical Praxis,https://journal.viterbo.edu/index.php/atpp,atpp,"education, pedagogy, philosophy for children, philosophy of education, community of inquiry",LC8-6691|B1-5802,Education: Special aspects of education | Philosophy. Psychology. Religion: Philosophy (General)
Anti-Trafficking Review,https://antitraffickingreview.org/index.php/atrjournal,atrjournal,"human trafficking, migration, human rights, sex work, labour",K,Law
Annales Universitatis Paedagogicae Cracoviensis Studia Naturae,https://czasopisma.up.krakow.pl/index.php/aupcstudianaturae,aupcsn,"botany, mycology, experimental biology, zoology, environmental biology and conservation, algology",QH301-705.5,Science: Biology (General)
International Journal of Automation and Smart Technology,https://www.ausmt.org/index.php/AUSMT,ausmt,"automation, smart technology, human-computer interface, optomechatronic modules and systems, robotics, intelligent devices and systems",T59.5|T58.5-58.64,Technology: Technology (General): Industrial engineering. Management engineering: Automation | Technology: Technology (General): Industrial engineering. Management engineering: Information technology
"Arid Zone Journal of Engineering, Technology and Environment",https://www.azojete.com.ng/index.php/azojete,azojete,"engineering, technology, science, arid environments",TA1-2040,Technology: Engineering (General). Civil engineering (General)
Bio-based and Applied Economics,https://oaj.fupress.net/index.php/bae,bae,"bioeconomy, biofuel, agriculture, forestry, fishery",SH1-691|SD1-669.5,Agriculture: Aquaculture. Fisheries. Angling | Agriculture: Forestry
Bangladesh Agronomy Journal,http://banglajol.info/index.php/BAJ,baj,"agronomy, crop science, plant science, plant physiology, soil science, farming system",S1-972,Agriculture: Agriculture (General)
European Journal of Translational Myology,http://pagepressjournals.org/index.php/bam,bam,translational myology,R|QM1-695,Medicine | Science: Human anatomy
Banko Janakari,https://www.nepjol.info/index.php/BANKO,banko,"forestry, environmental science, ecological modeling, ecology, botany, nature conservation",GE1-350|SD1-669.5,Geography. Anthropology. Recreation: Environmental sciences | Agriculture: Forestry
Biomedicine and Chemical Sciences,https://journals.irapa.org/index.php/BCS,bcs,"biomedicine, chemical sciences, biophysics, bioorganic synthesis",R,Medicine
Bulletin of the Chemical Society of Ethiopia,http://www.ajol.info/index.php/bcse,bcse,"chemistry, applied chemistry",QD1-999,Science: Chemistry
BC TEAL Journal,https://ojs-o.library.ubc.ca/index.php/BCTJ,bctj,"education, english, language, applied linguistics, secondary language",L7-991|PE1-3729,Education: Education (General) | Language and Literature: English language
Business and Finance Journal,https://journal2.unusa.ac.id/index.php/BFJ,bfj,"finance, marketing, economics, strategic management, operations management, entrepreneurship",HF5001-6182,Social Sciences: Commerce: Business
Building Healthy Academic Communities Journal,https://library.osu.edu/ojs/index.php/BHAC,bhac,"student wellness, staff wellness, academic communities, campus life, health promotion",RA1-1270,Medicine: Public aspects of medicine
Bibechana,https://www.nepjol.info/index.php/BIBECHANA,bibechana,"science, technology, mathematics, physics, chemistry, engineering",T|T1-995|Q,Technology: Technology (General) | Science
Iraqi Journal of Pharmaceutical Sciences,http://bijps.uobaghdad.edu.iq/index.php/bijps,bijps,"pharmaceutical engineering, drug and prodrug design, pharmaceutical analysis, pharmacogenomics, quality control, biopharmaceutics",RS1-441,Medicine: Pharmacy and materia medica
Bulletin of the Iraq Natural History Museum,http://jnhm.uobaghdad.edu.iq/index.php/BINHM,binhm,"biodiversity, taxonomy, natural history, museum, systematics",AM1-501|QH1-278.5,General Works: Museums. Collectors and collecting | Science: Natural history (General)
Voices in Bioethics,https://journals.library.columbia.edu/index.php/bioethics,bioethics01,"bioethics, medicine, law, philosophy, public health, ethics",R723-726|BJ1-1725,Medicine: Medicine (General): Medical philosophy. Medical ethics | Philosophy. Psychology. Religion: Ethics
Bangladesh Journal of Bioethics,http://www.banglajol.info/index.php/BIOETHICS,bioethics02,"medical ethics, research ethics, bioethics, ethics, environmental ethics",R723-726|BJ1-1725,Medicine: Medicine (General): Medical philosophy. Medical ethics | Philosophy. Psychology. Religion: Ethics
All Results Journals: Biol,http://arjournals.com/index.php/Biol,biol,"negative results, secondary results, biology, biomedicine",QH301-705.5,Science: Biology (General)
Biomath,http://www.biomathforum.org/biomath/index.php/biomath,biomath,"biomathematics, biophysics, computational biology, theoretical biology, ecology, biotechnology",QH301-705.5|QA1-939,Science: Biology (General) | Science: Mathematics
"Biology, Medicine & Natural Product Chemistry",http://sciencebiology.org/index.php/BIOMEDICH,biomedich,"biology, medicine, secondary metabolite, chemistry, natural products",QH301-705.5,Science: Biology (General)
Biologica Nyssana,http://journal.pmf.ni.ac.rs/bionys/index.php/bionys,bionys,"biology, biochemistry, biodiversity, ecology",QH301-705.5,Science: Biology (General)
Highlights in BioScience,http://highlightsin.org/index.php/bioscience,bioscience,"biology and life sciences, chemical biology, genetics, biochemistry, biophysics",QH301-705.5|QD415-436,Science: Biology (General) | Science: Chemistry: Organic chemistry: Biochemistry
Biotropia: The Southeast Asian Journal of Tropical Biology,http://journal.biotrop.org/index.php/biotropia,biotropia,"forest biotechnology, tropical ecosystems, environmental impacts, biodiversity conservation, sustainable development",QH301-705.5|QH540-549.5,Science: Biology (General): Ecology
Boletim do Instituto de Pesca,https://www.pesca.sp.gov.br/boletim/index.php/bip,bip,"aquaculture, liminology, ecology aquatic, ecology, aquatic ecology, aquatic science",SH1-691|GE1-350|GC1-1581,Agriculture: Aquaculture. Fisheries. Angling | Geography. Anthropology. Recreation: Environmental sciences | Geography. Anthropology. Recreation: Oceanography
Buana Information Technology and Computer Sciences,https://journal.ubpkarawang.ac.id/index.php/bit-cs,bitcs,"information systems, information technology, computer science",T58.5-58.64|QA75.5-76.95,Technology: Technology (General): Industrial engineering. Management engineering: Information technology | Science: Mathematics: Instruments and machines: Electronic computers. Computer science
Bioscience Journal,http://www.seer.ufu.br/index.php/biosciencejournal,bj,"agriculture, biological sciences, interdisciplinary studies, health sciences",S|QH301-705.5,Agriculture | Science: Biology (General)
Baghdad Journal of Biochemistry and Applied Biological Sciences,https://bjbabs.org/index.php/bjbabs/home,bjbabs,"biochemistry, biotechnology, microbiology, molecular biology, endocrinology",QH301-705.5|QR1-502|RC648-665|TP248.13-248.65|QD415-436,Science: Biology (General) | Science: Microbiology | Medicine: Internal medicine: Specialties of internal medicine: Diseases of the endocrine glands. Clinical endocrinology | Technology: Chemical technology: Biotechnology | Science: Chemistry: Organic chemistry: Biochemistry
Bergen Journal of Criminal Law and Criminal Justice,https://boap.uib.no/index.php/BJCLCJ,bjclcj,"criminal law, legal research, criminal justice, jurisprudence, criminology, criminal procedure",K5000-5582,Law: Law in general. Comparative and uniform law. Jurisprudence: Comparative law. International uniform law: Criminal law and procedure
Bangladesh Journal of Medical Science,http://www.banglajol.info/index.php/BJMS,bjms,"medical science, medical research",R,Medicine
Brazilian Journal of Oral Sciences,https://periodicos.sbu.unicamp.br/ojs/index.php/bjos,bjos,"dentistry, stomatology, oral research",RK1-715,Medicine: Dentistry
Bangladesh Journal of Pharmacology,http://www.banglajol.info/index.php/BJP,bjp,"pharmacology, health, clinical trials",RM1-950,Medicine: Therapeutics. Pharmacology
Bangladesh Journal of Plant Taxonomy,http://www.banglajol.info/index.php/BJPT,bjpt,"ethnobotany, plant taxonomy, plant conservation, biosystematics, biodiversity",QK1-989,Science: Botany
Bangladesh Journal of Scientific and Industrial Research,http://www.banglajol.info/index.php/BJSIR,bjsir,"engineering, agriculture, science, industrial research",S|T,Agriculture | Technology
